WM tracts,Abbreviation,P value,PBonf.
Middle cerebellar peduncle,MCP,12.3758325576782,1
Pontine crossing tract (a part of MCP),PCT,18.5177183151245,9.999e-05
Genu of corpus callosum,GCC,20.4310932159424,9.999e-05
Body of corpus callosum,BCC,14.8453960418701,1
Splenium of corpus callosum,SCC,20.5861930847168,9.999e-05
Fornix (column and body of fornix),FX,24.1484775543213,9.999e-05
Corticospinal tract left,CST-L,15.1098041534424,1
Corticospinal tract right,CST-R,14.0248703956604,1
Medial lemniscus left,ML-L,23.3183479309082,9.999e-05
Medial lemniscus right,ML-R,23.6256332397461,9.999e-05
Inferior cerebellar peduncle left,ICP-L,13.5898857116699,1
Inferior cerebellar peduncle right,ICP-R,12.671902179718,1
Superior cerebellar peduncle left,SCP-L,19.5207138061523,9.999e-05
Superior cerebellar peduncle right,SCP-R,20.1083545684814,9.999e-05
Cerebral peduncle left,CP-L,18.4266777038574,9.999e-05
Cerebral peduncle right,CP-R,20.8121013641357,9.999e-05
Anterior limb of internal capsule left,ALIC-L,11.1169691085815,1
Anterior limb of internal capsule right,ALIC-R,21.5963068008423,9.999e-05
Posterior limb of internal capsule left,PLIC-L,12.9603757858276,1
Posterior limb of internal capsule right,PLIC-R,19.5061340332031,9.999e-05
Retrolenticular part of internal capsule left,RLIC-L,16.3177547454834,0.9999
Retrolenticular part of internal capsule right,RLIC-R,15.1986627578735,1
Anterior corona radiata left,ACR-L,11.4489469528198,1
Anterior corona radiata right,ACR-R,14.9920554161072,1
Superior corona radiata left,SCR-L,13.3817400932312,1
Superior corona radiata right,SCR-R,15.2890486717224,1
Posterior corona radiata left,PCR-L,14.44109582901,1
Posterior corona radiata right,PCR-R,13.8737568855286,1
Posterior thalamic radiation (include optic radiation) left,PTR-L,12.0248184204102,1
Posterior thalamic radiation (include optic radiation) right,PTR-R,16.583683013916,0.9769023
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) left,SS-L,16.6058130264282,0.910209
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) right,SS-R,18.7007312774658,9.999e-05
External capsule left,EC-L,16.3767738342285,1
External capsule right,EC-R,16.1566143035889,1
Cingulum (cingulate gyrus) left,CGC-L,15.8504185676575,1
Cingulum (cingulate gyrus) right,CGC-R,14.1006031036377,1
Cingulum (hippocampus) left,CGH-L,18.3734359741211,9.999e-05
Cingulum (hippocampus) right,CGH-R,18.7665042877197,9.999e-05
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) left,FX/ST-L,9.96144342422485,1
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) right,FX/ST-R,17.4310436248779,0.00019998
Superior longitudinal fasciculus left,SLF-L,17.9533824920654,9.999e-05
Superior longitudinal fasciculus right,SLF-R,18.0690441131592,9.999e-05
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) left,SFO-L,12.3081789016724,1
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) right,SFO-R,18.454418182373,9.999e-05
Inferior fronto-occipital fasciculus left,IFO-L,23.3203907012939,9.999e-05
Inferior fronto-occipital fasciculus right,IFO-R,17.226037979126,0.00049995
Uncinate fasciculus left,UNC-L,19.5829935073853,9.999e-05
Uncinate fasciculus right,UNC-R,19.4781160354614,9.999e-05
Tapatum left,TAP-L,15.1704902648926,1
Tapatum right,TAP-R,16.2148532867432,0.9888011
